0x0DA,Recupera 100 PV.
0x10C,"Já houve inúmeros relatos dos que\n
viram a criatura no céu."
0x10D,"Os últimos relatos indicam que é\n
atraído por luzes fortes."
0x10E,"A luz aparentemente veio\n
de relâmpagos!"
0x10F,"Lá no Céu! \n
É um homem?"
0x110,"Vamos chamar esse ser voante de\n
Humanóide Voador."
0x111,"Será que algum dia conseguiremos\n
contato com esse ser voador?"
0x112,"Com grande arrependimento, nós\n
anunciamos nossa última edição."
0x113,Uma chave de formato estranho.
0x114,5000 pontos
0x115,5000 pontos
0x116,5000 pontos
0x117,"Um Selo Mágico desenhado para\n
selar o fluxo de energia negra."
0x118,"Um Selo Mágico desenhado para\n
selar o fluxo de energia negra."
0x119,"Um Selo Mágico desenhado para\n
selar o fluxo de energia negra."
0x11A,"Um Selo Mágico desenhado para\n
selar o fluxo de energia negra."
0x11B,"Um Selo Mágico desenhado para\n
selar o fluxo de energia negra."
0x11C,Punhos nus.
0x11D,"Um canivete barato.\n
Corta muito mal."
0x11E,"Uma faca de combate militar."
0x11F,"Uma espada curta com\n
empunhadura em formato de I."
0x120,"Uma espada curta oriunda do\n
Leste Indiano."
0x121,"Uma espada curta decorada com\n
ornamentação bem elaborada."
0x122,"Uma arma apunhaladora com uma\n
lâmina curvada."
0x123,Uma espada pequena.
0x124,"Uma espada projetada para defesa\n
da parte superior do corpo."
0x125,"Uma espada leve e fácil de\n
manusear."
0x126,"Uma espada de lâmina pontuda,\n
feita para perfurar."
0x127,"Uma espada com um lâmina\n
parecida com chicote."
0x128,"Uma espada flexível e articulada\n
feita para execuções."
0x129,"Uma espada lindamente decorada\n
feita de damasco."
0x12A,"Uma corrente sagrada com vontade\n
própria."
0x12B,"Uma espada de lâmina curta e\n
grossa."
0x12C,"Uma espada usada por\n
montadores de cavalaria."
0x12D,"Um tipo comum de espada."
0x12E,"Uma espada demoníaca na forma\n
de uma cruz."
0x12F,"Uma espada assustadora que\n
contém veneno em sua lâmina."
0x130,"Uma espada lapidada da madeira\n
de uma árvore divina."
0x131,"Uma linda espada extravagante.\n
Bastante valiosa."
0x132,"Uma espada que pode petrificar\n
o alvo."
0x133,"Uma espada demoníaca que congela\n
tudo que toca."
0x134,"Uma espada intensamente\n
quente que queima tudo que toca."
0x135,"Uma espada abençoada pela\n
divindade. Projetada para defesa."
0x136,"Uma espada demoníaca temperada\n
por fadas."
0x137,"Um espada cujo nome significa\n
""Vento Abençoado""."
0x138,Espada favorita de Alucard.
0x139,"Espadão escocês bastante pesado,\n
feito para uso com as duas mãos."
0x13A,"Uma espada com lâmina larga e\n
crescente usada por normandos."
0x13B,"Uma espada enorme que foi\n
feita para esmagar seus alvos."
0x13C,"Uma espada de gigantes que\n
foi temperada por fadas."
0x13D,"Uma espada demoníaca de\n
finalização."
0x13E,"Uma espada feita para\n
matar dragões."
0x13F,"Espada demoníaca feita para\n
matar dragões."
0x140,"Uma espada obtida de um Guarda\n
Final."
0x141,"Uma espada infatigável.\n
Sua lâmina brilha com a luz."
0x142,Um arpão comum.
0x143,"Uma vara longa com uma lâmina\n
larga na ponta."
0x144,"Uma vara longa equipada com um\n
machado."
0x145,Uma lança usada por cavaleiros.
0x146,Um arpão de três dentes.
0x147,"Um arpão demoníaco de cinco\n
pontas."
0x148,Um arpão temperado por bruxas.
0x149,Uma lança divina.
0x14A,"Lança em forma de trovão que\n
trespassa tudo que toca."
0x14B,Uma clava grande.
0x14C,"Uma clava com cabeça em forma\n
de estrela. É uma arma brutal."
0x14D,Um machado de um deus do trovão.
0x14E,"Um machado resistente com apenas\n
um lado cortante."
0x14F,"Um machado de combate com\n
dois lados cortantes."
0x150,"Um machado de combate muito\n
pesado."
0x151,"Um machado de batalha enorme.\n
É extremamente pesado."
0x152,"Um machado artesanal de ouro.\n
Seu desempenho é excelente."
0x153,"Uma foice usada pela Morte\n
para ceifar almas."
0x154,"Uma espada com uma ponta\n
cega."
0x155,"Uma espada tradicional usada\n
por samurais."
0x156,"Uma espada nomeada pelo lendário\n
ferreiro, Nagasone Kotetsu."
0x157,"Uma famosa espada samurai\n
japonesa."
0x158,"Uma espada japonesa com o nome\n
de Bizen Osafune Nagamitsu."
0x159,"Onimaru Kunitsuna, uma espada que\n
dizem ter matado demônios Oni."
0x15A,"Doujikiri Yasutsuna, uma espada\n
que cortou o braço de um demônio."
0x15B,"Uma espada com reputação\n
macabra."
0x15C,"Soqueira de metal para ser\n
usada nos punhos."
0x15D,"Luvas de soqueira dura usada\n
por antigos boxeadores."
0x15E,"Equipe e desfira golpes que\n
parecem chicotadas."
0x15F,"Permite ao usuário desferir\n
socos na velocidade do som."
0x160,"Dá aos punhos uma fúria\n
divina."
0x161,"Dispara balas de 9mm."
0x162,"Dispara balas de prata que\n
foram abençoadas por ritual."
0x163,"Uma arma arremessável com uma\n
lâmina curvada."
0x164,"Uma arma arremessável com uma\n
lâmina circular afiada."
0x165,"Um machado de batalha feito\n
para ser jogado."
0x166,"Uma pequena foice usada por\n
ninjas."
0x167,Granada propelida por foguete.
0x168,"Um brinquedo pérfido cheio de\n
pó de ferro."
0x169,"Apenas um mestre verdadeiro\n
pode portar uma arma tão mortal."
0x16A,""
0x16B,Roupas vestidas regularmente.
0x16C,"Uma vestimenta simples feita\n
de pano."
0x16D,"Uma vestimenta de treino\n
para atletas."
0x16E,"Parece que isso pode deixá-lo\n
mais forte."
0x16F,"Uma jaqueta de couro usada\n
por motoqueiros."
0x170,"Roupas resistentes feitas para\n
uso militar."
0x171,"Uma vestimenta de combate\n
usada por ninjas."
0x172,Roupas que trazem sorte.
0x173,"Uma vestimenta luxuosa com\n
detalhes finos por toda parte."
0x174,"Jaqueta feita com tecido\n
especial que resiste a cortes."
0x175,"Uma capa da cor do preto da\n
escuridão."
0x176,"Uma vestimenta oferecida\n
pelo Conde Orlock."
0x177,"Um túnica impregnada com o poder\n
negro de Conde Drácula."
0x178,"Uma vestimenta de armadura feita\n
de couro."
0x179,"Um peitoral modelado a partir\n
de ferro."
0x17A,"Uma vestimenta com anéis de metal\n
costurados."
0x17B,"Uma vestimenta de armadura com\n
placas de escamas costuradas."
0x17C,"Uma vestimenta feita de\n
correntes temperadas."
0x17D,"Cota de malha construída\n
para fácil deslocamento."
0x17E,"Uma armadura de tronco com\n
perfil arredondado."
0x17F,"Uma vestimenta de armadura que\n
ocasionalmente bloqueia ataques."
0x180,"Uma cachoeira reforçou esta\n
armadura por milênios a fio."
0x181,"Uma vestimenta de armadura\n
impregnada com poder demoníaco."
0x182,"Um manto feito de seda\n
trabalhada."
0x183,Um manto usado por magos.
0x184,Um manto confeccionado por elfos.
0x185,"Um manto resistente a fogo feito\n
do couro de um wyrm."
0x186,"Um manto resistente a água que\n
tem poder elemental."
0x187,"Um manto abençoado que acalma\n
o espírito."
0x188,"Um manto que já foi usado\n
pela Morte."
0x189,Uma capa simples.
0x18A,"Uma capa resistente. É muito\n
popular entre viajantes."
0x18B,"Uma capa de cor rubra bem\n
vívida."
0x18C,"Uma capa da cor do preto da\n
escuridão."
0x18D,Um pingente simples.
0x18E,"Um pingente em formato\n
de coração."
0x18F,Um colar macabro.
0x190,Um colar que simboliza o fogo.
0x191,"Bolinhas com uma cruz feita\n
de prata."
0x192,Um cachecol feito de lã.
0x193,"Um cachecol vermelho que dá um\n
ar de melancolia a quem o usa."
0x194,"Uma vestimenta de frio feita de\n
um novo material sintético."
0x195,"Um cinto que oferece apoio aos\n
músculos."
0x196,"Faixa preta usada por\n
lutadores habilidosos."
0x197,"Um cinto usado por uma divindade\n
de guerra. Amplifica poder."
0x198,Um brinco em forma de argola.
0x199,"Um brinco com um pedra preciosa\n
de cor azul-piscina."
0x19A,Um brinco feito de prata.
0x19B,Um brinco feito de ouro.
0x19C,"Um brinco vermelho escarlate\n
feito de rubi."
0x19D,Um brinco caro feito de platina.
0x19E,"Uma pedra preciosa vermelha da\n
cor de sangue."
0x19F,"Um amuleto de boa sorte que\n
traz prosperidade."
0x1A0,"Um talismã do Templo Hakuba.\n
Dizem que suprime almas negras."
0x1A1,"Um anel que já foi usado pelo\n
Senhor das Trevas."
0x1A2,"Um anel que aumenta a frequência\n
de aparecimento de itens raros."
0x1A3,"Um anel que aumenta a frequência\n
de aparição de almas."
0x1A4,"Um anel que acelera a velocidade\n
de restauração de PM."
0x1A5,"Ganha mais pontos de\n
experiência."
0x1A6,"Um anel que faz os inimigos darem\n
mais dinheiro após derrotados."
0x1A7,"Um anel que drena sem parar\n
energia negra a partir do caos."
